digital-marketing-and-seo,digital-marketing-retainer,Campaign Creation,campaign-creation,-,"SEM, Google Display Ads, LinkedIn, Facebook, Instagram, Twitter, Youtube",-,-,-,-
digital-marketing-and-seo,digital-marketing-retainer,Advertising Creatives,advertising-creatives,"PSD, AI, SVG, JPG, PNG, PDF, Gif, Video","Corousal, Video , Photo/Single Image, Canvas ads, Slideshow Ads, Dynamics Product Ads, InMail, PPC, Display creatives",-,-,-,-
digital-marketing-and-seo,digital-marketing-retainer,Campaign Management,campaign-management,-,"SEM, Google Display Ads, LinkedIn, Facebook, Instagram, Twitter, Youtube",-,-,-,-
digital-marketing-and-seo,digital-marketing-retainer,Ad Automation,ad-automation,"AdEspresso, AdZooma, Opteo","Bidding automation, Placement automation, Time & Day, Audience Automation, Adset & Ads",-,-,-,-
digital-marketing-and-seo,digital-marketing-retainer,Campaign Reporting,campaign-reporting,Agency Analytics,"PPC dashboard, Facebook ads dashboard, Google Ads Dashboar, Instagram dashboard, Twitter dashboard, Instagram Dashboard, YouTube Dashboard,",-,-,-,-
digital-marketing-and-seo,seo-retainer,SEO Audit,seo-audit,Raven Tools,"Technical Audit, On-Page Audit, Link Profile Analysis, Mobile Usability Analysis",,,,
digital-marketing-and-seo,seo-retainer,Advanced Technical SEO,advanced-technical-seo,Raven Tools,"Site Map, Page speed optimiation, Mobile Usability, Add Canonical Tags, Fix redirects, Fix 404 Errors, Fix Page duplicates,",,,,
digital-marketing-and-seo,seo-retainer,On-Page SEO,on-page-seo,Raven Tools,"Keyword Research, Ranking keywords, URL structure, Website Architecture, Page Meta Titles, Page Meta Descriptions, Image Alt Tags, Header Tags (H1/H2/H3)",-,-,-,-
digital-marketing-and-seo,seo-retainer,Off-Page SEO,off-page-seo,-,"Guest Posting, DA 40+, Spam Score less than 15%, Contextual Articles, Relevant Anchor text",-,-,-,-
digital-marketing-and-seo,seo-retainer,Content,seo-content,-,Blog Articles,-,-,-,-
digital-marketing-and-seo,seo-retainer,SEO Reporting,seo-reporting,Raven Tools,"Total Monthly Traffic/ users, Keyword tracker",-,-,-,-
digital-marketing-and-seo,content-marketing-retainer,Content Writing,content-writing,-,"Articles & Blog Posts, Social Media copy, SMS & Emailers, Case Studies",-,-,-,-
digital-marketing-and-seo,content-marketing-retainer,Graphics Creation,graphics-creation,"PSD, AI, SVG, JPG, PNG, PDF, Gif","Infographic, Banners, Flyers, Image, Slides, Gifs",-,-,-,-
digital-marketing-and-seo,content-marketing-retainer,Content Marketing,content-marketing,-,"Social Media - Facebook, Instagram, LinkedIn, Twitter, Medium",-,-,-,-
digital-marketing-and-seo,video-marketing-retainer,Video Creation,video-creation,Adobe premiere pro,"Voice Over, Short Videos/Promos, Motion graphics, Stock Footage,",,,,
digital-marketing-and-seo,video-marketing-retainer,Organic Video Marketing,organic-video-marketing,-,"Social Media, YouTube SEO",,,,
digital-marketing-and-seo,video-marketing-retainer,Paid Video Marketing,paid-video-marketing,-,"Facebook, Linkedin, Instagram, YouTube",,,,
social-media-and-branding,social-media-retainer,Social Media Creatives,Social-media-creatives,"Image, Gif, Video","Infographics, Images, Banners, Flyers, Slides, Gifs, Videos",,,,
social-media-and-branding,social-media-retainer,Social Media Posting,Social-media-posting,-,"Facebook, Instagram, LinkedIn, Twitter",,,,
social-media-and-branding,social-media-retainer,Paid Social Media Marketing,paid-Social-media-marketing,-,"Facebook, Instagram, LinkedIn, Twitter",,,,
ui-ux,ui-ux-retainer,website,website-ui-ux,"Adobe XD, Figma, Sketch, Invision, PhotoShop"," User research, User experience design, Analytics Driven Design , Premium quality images, Stock Images included, Interactive Mockup, High Fidelity Prototypes, Micro Interaction & Consumer Lifecycle",,,,
ui-ux,ui-ux-retainer,Mobile App,mobile-app-ui-ux,"Android, OIS, Hybrid"," User research, User experience design, Analytics Driven Design , Premium quality images, Stock Images included, Interactive Mockup, High Fidelity Prototypes, Micro Interaction & Consumer Lifecycle",,,,
ui-ux,ui-ux-retainer,Custom App,custom-app-ui-ux,-,"Product Research, Custom Design & Prototypes,  CRM,dashboards,ERP",,,,
tech-and-software,technology-retainer,Website Development (Front End + Back End),website-development,"HTML, React JS, Angular, Vue JS, Next JS, PHP, Java, Node JS, Python","Responsive Designs, Interactive , Secure, SEO Ready, Customized",,,,
tech-and-software,technology-retainer,Mobile App Development,mobile-app-development,"Android, IOS, React Native, Flutter Ionic","Responsive Designs, Interactive , Secure, SEO Ready, Customized",,,,
tech-and-software,technology-retainer,Custom App Development,custom-app-development,-,"CRM & ERP, Analytics, Internal Mobile Applications",,,,
design-and-graphics,graphic-design-retainer,Graphics Creation,graphics-creation,"PSD, AI, SVG, JPG, PNG, PDF, Gif","Infographic, Banners, Flyers, Image, Slides, Gifs",,,,
digital-marketing-and-seo,cxo-marketing-retainer,Content Creation,content-creation,-,Thought Leadership,,,,
digital-marketing-and-seo,cxo-marketing-retainer,Content Distribution,content-distribution,-,"Linkedin, Facebook, Instagram, twitter",,,,
